title,link,company,location,pay
Senior Ruby on Rails developer,https://stackoverflow.com/jobs/518196/senior-ruby-on-rails-developer-marketer-technologies-as?a=2NMMImZz7dVC&so=i&pg=2&offset=23&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,Marketer Technologies AS,"Oslo, Norway",
Senior Backend Developer - Node (Remote),https://stackoverflow.com/jobs/556300/senior-backend-developer-node-remote-bitfinex?a=30z4O0opna8g&so=i&pg=2&offset=24&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,Bitfinex,No office location,
Full Stack Engineer (m/f/d),https://stackoverflow.com/jobs/544458/full-stack-engineer-m-f-d-relayr?a=2WAQKL1lrvAQ&so=i&pg=3&offset=0&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,Relayr,"Berlin, Germany",€60k–75k
Integration Engineer,https://stackoverflow.com/jobs/555758/integration-engineer-brave-software?a=30nOf7nYuimQ&so=i&pg=3&offset=1&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,Brave Software,No office location,
UX/UI Designer - ArcGIS 3D Scene Viewer,https://stackoverflow.com/jobs/533788/ux-ui-designer-arcgis-3d-scene-viewer-esri?a=2T0ZqVhPQfS0&so=i&pg=3&offset=2&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,Esri,"Zürich, Switzerland",
DevOps Cloud Engineer m/w/d,https://stackoverflow.com/jobs/519984/devops-cloud-engineer-m-w-d-marc-opolo-international-gmbh?a=2OnXJjm1kpQk&so=i&pg=3&offset=3&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,MARC O'POLO International GmbH,"Stephanskirchen, Deutschland",
Lead Full Stack Developer,https://stackoverflow.com/jobs/562438/lead-full-stack-developer-motive-interactive?a=32CHEXGpgQUg&so=i&pg=3&offset=4&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,Motive Interactive,No office location,
QA Tester,https://stackoverflow.com/jobs/561041/qa-tester-self-decode?a=329EHNwqboQ0&so=i&pg=3&offset=5&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,Self Decode,No office location,$10k–30k
QA Automation Engineer (Remote),https://stackoverflow.com/jobs/534456/qa-automation-engineer-remote-x-team?a=2TeSqIq5OD3G&so=i&pg=3&offset=6&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,X-Team,No office location,
Salesforce Engineering Manager (Q-Commerce - Local Shops) (f/m/d),https://stackoverflow.com/jobs/565645/salesforce-engineering-manager-q-commerce-delivery-hero-se?a=33HnZtKGNfI4&so=i&pg=3&offset=7&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,Delivery Hero SE,"Berlin, Germany",
Senior WordPress Engineer (Remote),https://stackoverflow.com/jobs/507941/senior-wordpress-engineer-remote-xwp?a=2KlyoA3rBO4o&so=i&pg=3&offset=8&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,XWP,No office location,$85k–110k
Senior Ruby on Rails developer,https://stackoverflow.com/jobs/518196/senior-ruby-on-rails-developer-marketer-technologies-as?a=2NMMImZz7dVC&so=i&pg=3&offset=9&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,Marketer Technologies AS,"Oslo, Norway",
"Senior Software Developer/Team Leader in Berlin, Hamburg, Göttingen or Abingdon",https://stackoverflow.com/jobs/550234/senior-software-developer-team-leader-in-berlin-evotec-se?a=2YwWLQTanLjy&so=i&pg=3&offset=10&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,Evotec SE,"Berlin, Germany",
Senior Frontend Engineer - Payroll (f/m/d),https://stackoverflow.com/jobs/561463/senior-frontend-engineer-payroll-f-m-d-personio?a=32iqTkqTz4OY&so=i&pg=3&offset=11&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,Personio,"Madrid, Spain",
"Software Engineering Manager - Selection Domain, Core Order (w/m/d)",https://stackoverflow.com/jobs/562276/software-engineering-manager-selection-domain-delivery-hero-se?a=32zkOEFcJcvm&so=i&pg=3&offset=12&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,Delivery Hero SE,"Berlin, Germany",
Senior Frontend Engineer - Employee Performance & Development,https://stackoverflow.com/jobs/551287/senior-frontend-engineer-employee-performance-personio?a=2YSQpPXiA8ZW&so=i&pg=3&offset=13&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,Personio,"Amsterdam, Netherlands",
Senior Software Engineer - Market Data Distribution,https://stackoverflow.com/jobs/551413/senior-software-engineer-market-data-bloomberg-lp?a=2YVsQK57FEqc&so=i&pg=3&offset=14&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,Bloomberg LP,"Frankfurt, Germany",
Senior Python Full Stack Engineer,https://stackoverflow.com/jobs/551750/senior-python-full-stack-engineer-e-bot7-gmbh?a=2Z2t8qvcWwJa&so=i&pg=3&offset=15&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,e-bot7 GmbH,"Munich, Germany",
Open source stack software engineering lead,https://stackoverflow.com/jobs/564537/open-source-stack-software-engineering-lead-canonical?a=33klBsggI836&so=i&pg=3&offset=16&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,Canonical,No office location,
Senior Security Engineer,https://stackoverflow.com/jobs/561462/senior-security-engineer-exodusio?a=32iprpt2wgak&so=i&pg=3&offset=17&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,Exodus.io,No office location,
iOS / Swift Developer (Remote),https://stackoverflow.com/jobs/534448/ios-swift-developer-remote-x-team?a=2TeI7idMPgoE&so=i&pg=3&offset=18&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,X-Team,No office location,
SRE Lead,https://stackoverflow.com/jobs/559156/sre-lead-electrolux?a=31wsDRfKIEoM&so=i&pg=3&offset=19&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,Electrolux,"Stockholm, Sweden",
C++ Engineer - Player Features & Framework,https://stackoverflow.com/jobs/496574/c-plus-plus-engineer-player-features-framework-spotify?a=2GxcH2Y4ceic&so=i&pg=3&offset=20&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,Spotify,No office location,
IFS FSM Developer,https://stackoverflow.com/jobs/559021/ifs-fsm-developer-electrolux?a=31tEBBp5gBJm&so=i&pg=3&offset=21&total=117&so_medium=Internal&so_source=JobSearch&q=javascript,Electrolux,"Stockholm, Sweden",
